T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
354.1057878,439.2976591,574.7994222,814.5343261,1311.546774,2621.498185,7008.911343,120.818933,1885.866942,6518.567542,3212.351466,988.3469345,354.1057878,149.2536547,70.53138007
323.9312959,400.6038113,522.0260848,735.6691996,1175.858553,2333.910822,6388.271126,127.4896253,2025.116331,6460.86856,2948.582193,899.8919519,323.9312959,137.0419277,64.87992185
296.6924867,365.8159135,474.8202274,665.5583179,1055.980862,2079.216617,5786.647516,134.6025314,2171.373266,6366.898824,2704.208177,820.3801468,296.6924867,125.9445391,59.71821913
272.0598157,334.4808324,432.5127953,603.1154671,949.9456075,1854.072135,5215.146242,142.1896494,2324.376096,6239.273728,2478.719325,748.8244882,272.0598157,115.8435862,54.99751602
249.7453059,306.2038863,394.5226236,547.397115,856.0227497,1655.264629,4681.187307,150.2852396,2483.736309,6081.31455,2271.344239,684.3484666,249.7453059,106.6355179,50.67467265
229.4968678,280.6407976,360.3444222,497.5839775,772.6980896,1479.790989,4189.009657,158.9259562,2648.924581,5896.878766,2081.135377,626.1752319,229.4968678,98.22917715,46.71142952
211.0934303,257.4907761,329.5383634,452.9645929,698.6504286,1324.89947,3740.288255,168.150982,2819.258129,5690.175207,1907.037906,573.6171737,211.0934303,90.54413413,43.0737785
194.3407654,236.4905822,301.7210893,412.9208419,632.7293882,1188.105487,3334.760693,178.0021655,2993.890214,5465.57842,1747.943683,526.0661645,194.3407654,83.50926468,39.73142398
179.0679077,217.4094322,276.557967,376.9152836,573.9346336,1067.190194,2970.797292,188.5241585,3171.802671,5227.455053,1602.732267,482.9845826,179.0679077,77.06153499,36.65731992
165.1240814,200.0446294,253.7564294,344.480145,521.3968847,960.1883091,2645.880861,199.7645544,3351.802478,4980.012369,1470.301035,443.8971566,165.1240814,71.14496068,33.82727125
152.376061,184.2178149,233.0602555,315.2077891,474.360861,865.3697892,2356.98601,211.7740253,3532.523339,4727.175567,1349.586385,408.3836292,152.376061,65.70971329,31.21958993
140.7059027,169.7717491,214.2446606,288.7424891,432.1701543,781.2185321,2100.862985,224.606456,3712.433249,4472.497107,1239.577863,376.0722061,140.7059027,60.71135177,28.8147974
130.0089905,156.567548,197.1120827,264.7733454,394.2539373,706.4102205,1874.238876,238.3190739,3889.848845,4219.098058,1139.326799,346.633739,130.0089905,56.11016006,26.59536666
120.1923538,144.4823059,181.4885641,243.0281939,360.1153651,639.7906354,1673.951958,252.9725715,4062.957151,3969.638964,1047.950782,319.7765837,120.1923538,51.87057498,24.54549816
111.1732143,133.4070495,167.2206443,223.2683739,329.3215046,580.3552328,1497.034648,268.6312201,4229.844987,3726.316062,964.6350738,295.2420683,111.1732143,47.96069106,22.65092462
102.8777309,123.244975,154.172689,205.2842326,301.494625,527.2303995,1340.758759,285.3629709,4388.535911,3490.877693,888.6318395,272.8005106,102.8777309,44.3518311,20.89874077
95.23991266,113.9099265,142.2245919,188.8912657,276.3046831,479.6565648,1202.654247,303.2395407,4537.034048,3264.655588,819.25786,252.2477233,95.23991266,41.01817299,19.2772544
88.20067737,105.3250815,131.2697951,173.9268002,253.4628541,436.9731817,1080.510179,322.3364779,4673.373651,3048.605966,755.8912707,233.4019516,88.20067737,37.93642473,17.77585586
81.70703324,97.42181314,121.2135829,160.2471434,232.715966,398.6055024,972.3644294,342.7332042,4795.672673,2843.356017,697.9677076,216.1011922,81.70703324,35.08554093,16.38490347
75.71136776,90.13870416,111.9716072,147.7251294,213.8417164,364.0530171,876.4868014,364.5130269,4902.188133,2649.252181,644.9761557,200.2008461,75.71136776,32.44647489,15.09562265
70.17082808,83.42069091,103.4686135,136.2480061,196.6445616,332.8794008,791.3588134,387.7631169,4991.370686,2466.407471,596.4547077,185.5716654,70.17082808,30.00196152,13.900017
65.04678034,77.21831919,95.63733728,125.715614,180.9521833,304.7038058,715.6523464,412.5744437,5061.91555,2294.745905,551.9863778,172.097956,65.04678034,27.73632678,12.7907898
60.30433712,71.48709614,88.4175469,116.0388127,166.6124497,279.1933415,648.2085409,439.0416623,5112.806952,2134.042836,511.1950695,159.6760042,60.30433712,25.6353201,11.76127446
55.91194377,66.18692496,81.75521245,107.1381218,153.4908009,256.0565917,588.017788,467.2629425,5143.353441,1983.960512,473.7417598,148.212699,55.91194377,23.68596677,10.80537285
51.84101559,61.28161088,75.6017824,98.94254388,141.4679969,235.0380347,534.2012754,497.3397314,5153.211874,1844.078669,439.3209347,137.6243242,51.84101559,21.87643766,9.917500593
48.0656191,56.73842895,69.91355351,91.38854422,130.4381757,215.9132414,485.9942934,529.37644,5142.398537,1713.920268,407.6572946,127.8354989,48.0656191,20.19593401,9.092538266
